Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2018-5-20,Tamanduateí,-23.59290,-46.5897,52665,74,42,52,28,38,6,20,43,NORMAL
2018-7-10,São Judas,-23.6255,-46.6411,15602,86,44,10,14,19,37,16,27,NORMAL
2018-8-29,São Judas,-23.6255,-46.6411,15163,5,4,65,36,39,5,25,6,NORMAL
2018-10-2,Tamanduateí,-23.59290,-46.5897,51568,40,56,12,43,5,17,14,39,REABASTECER
2019-9-29,Tamanduateí,-23.59290,-46.5897,51751,78,33,40,31,28,15,3,3,NORMAL
2018-11-24,São Judas,-23.6255,-46.6411,14775,67,65,8,13,37,39,43,2,NORMAL
2018-11-29,Tamanduateí,-23.59290,-46.5897,51854,5,62,65,9,34,15,43,39,REABASTECER
2019-1-29,São Judas,-23.6255,-46.6411,16438,57,48,17,10,37,7,26,32,NORMAL
2019-2-6,São Judas,-23.6255,-46.6411,15193,78,65,39,27,11,35,39,3,NORMAL
2019-7-3,Tamanduateí,-23.59290,-46.5897,50080,51,17,50,8,39,35,43,24,NORMAL
2019-7-18,São Judas,-23.6255,-46.6411,14070,34,9,57,12,2,27,39,39,REABASTECER
2018-4-14,Sé,-23.55,-46.6333,194850,25,38,19,24,30,32,24,16,NORMAL
2019-8-19,Sé,-23.55,-46.6333,193269,19,5,61,42,23,4,4,18,NORMAL
2019-9-28,Sé,-23.55,-46.6333,193815,47,65,59,23,5,8,17,29,REABASTECER
2019-3-12,Vila Mariana,-23.5895,-46.6346,22169,58,54,65,26,43,34,43,34,NORMAL
2018-8-5,Brás,-23.5451,-46.6162,71802,66,65,61,15,25,40,37,8,NORMAL
2018-8-30,Brás,-23.5451,-46.6162,72084,75,65,29,29,11,41,19,34,NORMAL
2019-11-24,Vila Mariana,-23.5895,-46.6346,24289,86,33,29,17,5,24,7,4,REABASTECER
2018-12-16,Brás,-23.5451,-46.6162,73879,71,32,38,20,26,33,11,20,NORMAL
2018-2-18,Brás,-23.5451,-46.6162,72887,39,6,65,34,37,19,22,10,REABASTECER
2019-1-11,Brás,-23.5451,-46.6162,74397,86,56,56,29,11,30,36,10,NORMAL
2018-1-2,Brooklin,-23.6263,-46.6878,28092,79,56,56,39,40,39,37,40,NORMAL
2018-4-24,Brás,-23.5451,-46.6162,71598,86,61,65,22,23,27,8,11,NORMAL
2019-9-7,Brás,-23.5451,-46.6162,74067,77,49,58,38,23,31,30,43,NORMAL
2019-1-11,Brás,-23.5451,-46.6162,74397,86,56,56,29,11,30,36,10,NORMAL
2019-3-10,Brás,-23.5451,-46.6162,74204,10,26,53,21,35,24,8,36,NORMAL
